Name                  VCPUs    RAM_GB
--------------------  -------  --------
Standard_D128ads_v7   128      512
Standard_D128alds_v7  128      256
Standard_D128als_v7   128      256
Standard_D128as_v7    128      512
Standard_D128ds_v7    128      512
Standard_D128lds_v7   128      256
Standard_D128ls_v7    128      256
Standard_D128s_v7     128      512
Standard_D160ads_v7   160      640
Standard_D160alds_v7  160      320
Standard_D160als_v7   160      320
Standard_D160as_v7    160      640
Standard_D16ads_v7    16       64
Standard_D16alds_v7   16       32
Standard_D16als_v7    16       32
Standard_D16as_v7     16       64
Standard_D16ds_v7     16       64
Standard_D16lds_v7    16       32
Standard_D16ls_v7     16       32
Standard_D16s_v7      16       64
Standard_D192ds_v7    192      768
Standard_D192lds_v7   192      384
Standard_D192ls_v7    192      384
Standard_D192s_v7     192      768
Standard_D248ds_v7    248      992
Standard_D248lds_v7   248      496
Standard_D248ls_v7    248      496
Standard_D248s_v7     248      992
Standard_D2ads_v7     2        8
Standard_D2alds_v7    2        4
Standard_D2als_v7     2        4
Standard_D2as_v7      2        8
Standard_D2ds_v7      2        8
Standard_D2lds_v7     2        4
Standard_D2ls_v7      2        4
Standard_D2s_v7       2        8
Standard_D32ads_v7    32       128
Standard_D32alds_v7   32       64
Standard_D32als_v7    32       64
Standard_D32as_v7     32       128
Standard_D32ds_v7     32       128
Standard_D32lds_v7    32       64
Standard_D32ls_v7     32       64
Standard_D32s_v7      32       128
Standard_D372ds_v7    372      1488
Standard_D372s_v7     372      1488
Standard_D48ads_v7    48       192
Standard_D48alds_v7   48       96
Standard_D48als_v7    48       96
Standard_D48as_v7     48       192
Standard_D48ds_v7     48       192
Standard_D48lds_v7    48       96
Standard_D48ls_v7     48       96
Standard_D48s_v7      48       192
Standard_D4ads_v7     4        16
Standard_D4alds_v7    4        8
Standard_D4als_v7     4        8
Standard_D4as_v7      4        16
Standard_D4ds_v7      4        16
Standard_D4lds_v7     4        8
Standard_D4ls_v7      4        8
Standard_D4s_v7       4        16
Standard_D64ads_v7    64       256
Standard_D64alds_v7   64       128
Standard_D64als_v7    64       128
Standard_D64as_v7     64       256
Standard_D64ds_v7     64       256
Standard_D64lds_v7    64       128
Standard_D64ls_v7     64       128
Standard_D64s_v7      64       256
Standard_D8ads_v7     8        32
Standard_D8alds_v7    8        16
Standard_D8als_v7     8        16
Standard_D8as_v7      8        32
Standard_D8ds_v7      8        32
Standard_D8lds_v7     8        16
Standard_D8ls_v7      8        16
Standard_D8s_v7       8        32
Standard_D96ads_v7    96       384
Standard_D96alds_v7   96       192
Standard_D96als_v7    96       192
Standard_D96as_v7     96       384
Standard_D96ds_v7     96       384
Standard_D96lds_v7    96       192
Standard_D96ls_v7     96       192
Standard_D96s_v7      96       384
Standard_DC16ads_v6   16       64
Standard_DC16as_v6    16       64
Standard_DC16ds_v3    16       128
Standard_DC16s_v3     16       128
Standard_DC1ds_v3     1        8
Standard_DC1s_v3      1        8
Standard_DC24ds_v3    24       192
Standard_DC24s_v3     24       192
Standard_DC2ads_v6    2        8
Standard_DC2as_v6     2        8
Standard_DC2ds_v3     2        16
Standard_DC2s_v3      2        16
Standard_DC32ads_v6   32       128
Standard_DC32as_v6    32       128
Standard_DC32ds_v3    32       256
Standard_DC32s_v3     32       256
Standard_DC48ads_v6   48       192
Standard_DC48as_v6    48       192
Standard_DC48ds_v3    48       384
Standard_DC48s_v3     48       384
Standard_DC4ads_v6    4        16
Standard_DC4as_v6     4        16
Standard_DC4ds_v3     4        32
Standard_DC4s_v3      4        32
Standard_DC64ads_v6   64       256
Standard_DC64as_v6    64       256
Standard_DC8ads_v6    8        32
Standard_DC8as_v6     8        32
Standard_DC8ds_v3     8        64
Standard_DC8s_v3      8        64
Standard_DC96ads_v6   96       384
Standard_DC96as_v6    96       384
